Дата время;Код инструмента;ТФ;Период;Пункт;Шаг;%
26.04.2021 14:57:11;AFM1;D;25;145;145;2.18
26.04.2021 14:57:12;AKM1;D;25;949;949;2.64
26.04.2021 14:57:20;ALM1;D;25;252;252;2.2
26.04.2021 14:57:23;AUM1;D;25;0.0065;65;0.83
26.04.2021 14:57:34;BRK1;D;25;1.92;192;2.95
26.04.2021 14:57:34;BRM1;D;25;1.88;188;2.92
26.04.2021 14:57:35;BRN1;D;25;1.68;168;2.62
26.04.2021 14:57:36;BRQ1;D;25;1.29;129;2.03
26.04.2021 14:57:36;BRU1;D;25;1.39;139;2.2
26.04.2021 14:57:37;BRV1;D;25;1.4;140;2.24
26.04.2021 14:57:38;BRX1;D;25;1.11;111;1.77
26.04.2021 14:57:38;BRZ1;D;25;1.21;121;1.95
26.04.2021 14:57:40;CAM1;D;25;0.0082;82;0.66
26.04.2021 14:57:41;CFM1;D;25;0.0053;53;0.58
26.04.2021 14:57:43;CHM1;D;25;4254;4254;2.35
26.04.2021 14:57:44;CLK1;D;25;1.43;143;2.34
26.04.2021 14:57:56;EDM1;D;25;0.0061;61;0.5
26.04.2021 14:57:56;EDU1;D;25;0.0054;54;0.45
26.04.2021 14:58:08;EuM1;D;25;1134;1134;1.24
26.04.2021 14:58:08;EuH2;D;25;345;345;0.36
26.04.2021 14:58:10;EuU1;D;25;1060;1060;1.14
26.04.2021 14:58:10;EuZ1;D;25;810;810;0.87
26.04.2021 14:58:12;FSM1;D;25;244;244;1.12
26.04.2021 14:58:12;FVM1;D;25;478;478;2.08
26.04.2021 14:58:25;GDM1;D;25;20.4;204;1.15
26.04.2021 14:58:25;GDU1;D;25;18.5;185;1.04
26.04.2021 14:58:26;GDZ1;D;25;18.6;186;1.03
26.04.2021 14:58:37;GKM1;D;25;705;705;2.76
26.04.2021 14:58:40;GUM1;D;25;0.0088;88;0.63
26.04.2021 14:58:53;GZM1;D;25;488;488;2.07
26.04.2021 14:58:53;GZU1;D;25;459;459;2.0
26.04.2021 14:58:59;HYM1;D;25;128;128;1.47
26.04.2021 14:58:59;IRM1;D;25;512;512;1.01
26.04.2021 14:59:02;JPM1;D;25;0.52;52;0.48
26.04.2021 14:59:12;LKM1;D;25;1407;1407;2.36
26.04.2021 14:59:13;LKU1;D;25;770;770;1.31
26.04.2021 14:59:18;MEM1;D;25;323;323;1.96
26.04.2021 14:59:18;MFQ1;D;13;0.0;0;0.0
26.04.2021 14:59:20;MGM1;D;25;1809;1809;2.57
26.04.2021 14:59:22;MLM1;D;25;491;491;2.82
26.04.2021 14:59:33;MMM1;D;25;46.8;936;1.32
26.04.2021 14:59:34;MMU1;D;25;30.5;610;0.86
26.04.2021 14:59:56;MNM1;D;25;94;94;1.76
26.04.2021 14:59:58;MTM1;D;25;236;236;0.73
26.04.2021 15:00:12;MXM1;D;25;4675;187;1.31
26.04.2021 15:00:12;MXU1;D;25;2900;116;0.82
26.04.2021 15:00:23;NGJ1;D;25;0.073;73;2.69
26.04.2021 15:00:24;NGK1;D;25;0.064;64;2.3
26.04.2021 15:00:25;NGM1;D;25;0.072;72;2.51
26.04.2021 15:00:26;NKM1;D;25;3227;3227;2.3
26.04.2021 15:00:29;NMM1;D;25;677;677;2.44
26.04.2021 15:00:31;O2M1;D;25;32;32;0.32
26.04.2021 15:00:32;OVM1;D;25;44;44;0.42
26.04.2021 15:00:35;PDM1;D;25;63.02;6302;2.19
26.04.2021 15:00:36;PDU1;D;25;34.77;3477;1.2
26.04.2021 15:00:37;POM1;D;25;358;358;2.18
26.04.2021 15:00:46;PTM1;D;25;28.2;282;2.26
26.04.2021 15:00:46;PTU1;D;25;19.8;198;1.55
26.04.2021 15:00:48;PZM1;D;25;2913;2913;1.96
26.04.2021 15:01:01;RIM1;D;25;3040;304;2.04
26.04.2021 15:01:01;RIH2;D;25;1810;181;1.25
26.04.2021 15:01:02;RIM2;D;25;1490;149;1.04
26.04.2021 15:01:03;RIU1;D;25;2750;275;1.88
26.04.2021 15:01:03;RIU2;D;25;330;33;0.23
26.04.2021 15:01:04;RIZ1;D;25;1980;198;1.36
26.04.2021 15:01:14;RNM1;D;25;1181;1181;2.24
26.04.2021 15:01:15;RNU1;D;25;357;357;0.67
26.04.2021 15:01:15;RRQ1;D;25;0.02;2;0.02
26.04.2021 15:02:53;RTM1;D;25;193;193;1.81
26.04.2021 15:02:57;SGM1;D;25;644;644;1.48
26.04.2021 15:03:04;SNM1;D;25;800;800;2.26
26.04.2021 15:03:14;SPM1;D;25;428;428;1.6
26.04.2021 15:03:26;SRM1;D;25;579;579;2.06
26.04.2021 15:03:26;SRU1;D;25;514;514;1.82
26.04.2021 15:03:26;SRZ1;D;25;341;341;1.19
26.04.2021 15:03:38;SVM1;D;25;0.56;56;2.14
26.04.2021 15:03:39;SVU1;D;25;0.53;53;2.02
26.04.2021 15:03:39;SVZ1;D;25;0.46;46;1.74
26.04.2021 15:03:51;SiM1;D;25;967;967;1.28
26.04.2021 15:03:39;SiH2;D;25;868;868;1.11
26.04.2021 15:03:51;SiM2;D;25;769;769;0.97
26.04.2021 15:03:51;SiU1;D;25;959;959;1.25
26.04.2021 15:03:51;SiU2;D;25;544;544;0.68
26.04.2021 15:03:52;SiZ1;D;25;890;890;1.15
26.04.2021 15:03:52;SiZ2;D;25;713;713;0.88
26.04.2021 15:03:53;TIM1;D;25;1628;1628;3.64
26.04.2021 15:03:53;TNM1;D;25;1760;1760;1.21
26.04.2021 15:03:56;TTM1;D;25;1363;1363;2.39
26.04.2021 15:04:09;VBM1;D;25;140;140;2.68
26.04.2021 15:02:45;VIK1;D;25;0.95;19;3.09
26.04.2021 15:04:27;YNM1;D;25;1172;1172;2.53
